Sector Name,Ticker 1,Ticker 2,Ticker 3,Ticker 4,Ticker 5
Nifty Auto Index,TATAMOTORS.NS,MARUTI.NS,M&M.NS,HEROMOTOCO.NS,EICHERMOT.NS
Nifty FMCG Index,HINDUNILVR.NS,DABUR.NS,ITC.NS,BRITANNIA.NS,NESTLEIND.NS
Nifty IT Index,TCS.NS,INFY.NS,WIPRO.NS,HCLTECH.NS,TECHM.NS
Nifty Bank Index,HDFCBANK.NS,ICICIBANK.NS,AXISBANK.NS,KOTAKBANK.NS,SBIN.NS
Nifty Metal Index,TATASTEEL.NS,JSWSTEEL.NS,HINDALCO.NS,COALINDIA.NS,VEDL.NS
Nifty Pharma Index,SUNPHARMA.NS,CIPLA.NS,DRREDDY.NS,LUPIN.NS,AARTIIND.NS
Nifty Energy Index,RELIANCE.NS,ONGC.NS,BPCL.NS,NTPC.NS,POWERGRID.NS
Nifty Infra Index,LARSEN.NS,DLF.NS,BHEL.NS,ADANIGREEN.NS,JSWENERGY.NS
Nifty Realty Index,DLF.NS,GODREJPROP.NS,OberoiRealty.NS,BRIGADE.NS,MACROTECH.NS
Nifty Media Index,ZEE.NS,SUNTV.NS,TV18BRDCST.NS,PVR.NS,ADLABS.NS
Nifty Consumer Durables Index,TITAN.NS,POLYCAB.NS,BLUESTAR.NS,CROMPTON.NS,VOLTAS.NS
Nifty Services Sector Index,INFOEDGE.NS,IRCTC.NS,RELIANCE.NS,HDFC.LTD,DMART.NS
